"","run","iter","depth","condition","cfit"
"555",4,2,2,"decon",-4557.60068095701
"556",4,2,2,"flip",-4042.34863535804
"557",4,2,1,"construct",-4106.57842255106
"558",4,2,1,"combine",-8837.14405778612
"559",4,2,1,"decon",-4476.12821934476
"560",4,2,1,"flip",-4370.25695216205
"561",4,3,2,"construct",-3745.00004338403
"562",4,3,2,"combine",-8154.28313354727
"563",4,3,2,"decon",-4990.09161420164
"564",4,3,2,"flip",-4568.33215381298
"565",4,3,1,"construct",-3680.90072676282
"566",4,3,1,"combine",-8027.48793825357
"567",4,3,1,"decon",-4463.56491889253
"568",4,3,1,"flip",-4211.60137175475
"569",4,4,2,"construct",-3688.73324505082
"570",4,4,2,"combine",-8313.72474424304
"571",4,4,2,"decon",-4784.06176191813
"572",4,4,2,"flip",-4315.35115978521
"573",4,4,1,"construct",-3896.89678729264
"574",4,4,1,"combine",-8115.36780085362
"575",4,4,1,"decon",-4466.54316521217
"576",4,4,1,"flip",-4232.78087230357
"577",4,5,2,"construct",-3746.21513388527
"578",4,5,2,"combine",-8312.02509976456
"579",4,5,2,"decon",-5203.99297753937
"580",4,5,2,"flip",-4233.33230236917
"581",4,5,1,"construct",-3713.99688037223
"582",4,5,1,"combine",-8194.78095745072
"583",4,5,1,"decon",-4466.17386080613
"584",4,5,1,"flip",-4205.93629913682
"585",4,6,2,"construct",-3713.00922501795
"586",4,6,2,"combine",-8208.14970064331
"587",4,6,2,"decon",-4729.53275992152
"588",4,6,2,"flip",-4049.8188159624
"589",4,6,1,"construct",-3811.95365023039
"590",4,6,1,"combine",-8441.27939269765
"591",4,6,1,"decon",-4476.07640487988
"592",4,6,1,"flip",-4316.72247606423
"593",4,7,2,"construct",-3728.11365647444
"594",4,7,2,"combine",-7838.61123163575
"595",4,7,2,"decon",-4730.93016886452
"596",4,7,2,"flip",-4459.53100997542
"597",4,7,1,"construct",-3983.66948415707
"598",4,7,1,"combine",-8208.99167905927
"599",4,7,1,"decon",-4478.5188284478
"600",4,7,1,"flip",-4406.55084521714
"601",4,8,2,"construct",-3941.10283716223
"602",4,8,2,"combine",-8098.62283388015
"603",4,8,2,"decon",-5136.4760431651
"604",4,8,2,"flip",-4054.69370658223
"605",4,8,1,"construct",-3808.81722321709
"606",4,8,1,"combine",-8057.73414406499
"607",4,8,1,"decon",-4472.94593342576
"608",4,8,1,"flip",-4376.51401305146
"609",4,9,2,"construct",-3875.88261553476
"610",4,9,2,"combine",-8204.08878888722
"611",4,9,2,"decon",-4584.41307524942
"612",4,9,2,"flip",-4137.7744524514
"613",4,9,1,"construct",-3858.79495603294
"614",4,9,1,"combine",-8402.56815125822
"615",4,9,1,"decon",-4488.1961066747
"616",4,9,1,"flip",-4291.0982162276
"617",4,10,2,"construct",-3771.13815349503
"618",4,10,2,"combine",-8155.63518945211
"619",4,10,2,"decon",-4888.07604813111
"620",4,10,2,"flip",-4098.69630146238
"621",4,10,1,"construct",-3898.763782785
"622",4,10,1,"combine",-8286.31163820781
"623",4,10,1,"decon",-4485.99219337887
"624",4,10,1,"flip",-4317.14116024775
"625",4,16,2,"construct",-3803.47402050897
"626",4,16,2,"combine",-8062.43628347293
"627",4,16,2,"decon",-4728.58401959589
"628",4,16,2,"flip",-4208.3069426077
"629",4,16,1,"construct",-3757.13433484033
